vehicle_id,Curb_Weight,year
22453,1785.0,2013
22456,1773.0,2013
22457,1579.0,2013
22458,2131.0,2013
22465,1773.0,2013
22472,1892.0,2013
22474,1454.0,2013
22475,1775.0,2013
22478,1547.0,2013
22479,1547.0,2013
22485,1590.0,2013
22488,1821.0,2013
22489,2628.0,2013
22491,1987.0,2013
22493,2320.0,2013
22495,1585.0,2013
22496,1984.0,2013
22498,1984.0,2013
22503,1380.0,2013
22509,1725.0,2013
22510,1331.0,2013
22515,1553.0,2013
22519,1417.0,2013
22521,1883.0,2013
22524,1556.0,2013
22531,1725.0,2013
22532,1961.0,2013
22536,1553.0,2013
22538,1821.0,2013
22540,1555.0,2013
22543,1554.0,2013
22545,1570.0,2013
22554,2032.0,2013
22555,1398.0,2013
22556,1560.0,2013
22557,1651.0,2013
22563,1597.0,2013
22565,1614.0,2013
22566,1687.0,2013
22567,1537.0,2013
22569,1539.0,2013
22572,1948.0,2013
22578,1665.0,2013
22580,1405.0,2013
22581,1696.0,2013
22582,2121.0,2013
22586,2242.142721669206,2013
22589,2062.0,2013
22590,2125.0,2013
22593,1907.0,2013
22594,1907.0,2013
22595,1850.0,2013
22598,2495.0,2013
22599,1380.0,2013
22602,1569.0,2013
22605,1904.0,2013
22609,1904.0,2013
22612,1386.0,2013
22613,1470.0,2013
22615,2105.0,2013
22616,1576.0,2013
22618,1574.0,2013
22620,2202.7925886984294,2013
22622,1556.0,2013
22624,1696.0,2013
22625,1892.0,2013
22630,2156.0,2013
22635,2211.0,2013
22638,1605.0,2013
22641,2220.7392131221973,2013
22643,1599.0,2013
22645,2155.9849987685857,2013
22646,2261.0,2013
22647,1552.0,2013
22648,2529.0,2013
22650,3226.0,2013
