vehicle_id,Curb_Weight,Price_USD,year
240,1478.345622,43470,2010
241,1452.059247,45588.88889,2010
242,1449.677464,45500,2010
243,1568.420047,28785,2010
244,1558.314712,29400,2010
249,1545.563787,24275.5102,2010
256,1117.088452,9970,2010
257,1122.268719,9970,2010
260,1344.249584,17510,2010
261,1457.155426,29950,2010
264,1361.328611,19295,2010
265,1365.628224,19340,2010
266,1552.825806,30500,2010
267,1513.139137,28400,2010
268,1524.009869,28400,2010
269,1560.784933,30500,2010
271,1450.928024,27495,2010
272,1442.943425,23838.75,2010
273,1303.559873,18690,2010
278,1821,25995,2010
279,1821,27370,2010
288,1611.598088,36000,2010
291,1057.430966,13546.91176,2010
292,1049.731281,12905,2010
293,1164.623249,15700,2010
294,1179.63176,18126.81128,2010
295,1215.029009,15700,2010
296,1212.872528,15450,2010
302,1506.495019,26152.54902,2010
303,1531.084747,22220,2010
304,2388,40350.89744,2010
305,2462,42845.04202,2010
306,2486,53240,2010
307,2507,62495,2010
308,2521,45111.05263,2010
309,2526,39216.79537,2010
310,2538,44980,2010
311,2556,54080,2010
312,2577,46030,2010
313,2577,44145,2010
314,2578,46692.74282,2010
315,2592,71690.88159,2010
316,2592,65045,2010
317,2605,54410,2010
318,2612,73121.66667,2010
319,2631,42925.75,2010
321,2648,48765,2010
322,2652,44216.87075,2010
323,2674,43030,2010
324,2705,57115,2010
325,2387,46100,2010
326,2715,46609.53883,2010
334,1590,45950,2010
335,1590,45500,2010
336,1590,45500,2010
337,1590,45950,2010
344,1574,41170.33333,2010
345,1574,41161.55172,2010
351,2742,59405,2010
352,2799,43233,2010
353,2920,46284.65753,2010
354,1734.944554,56100,2010
355,1762.222842,67178.33333,2010
356,1745.35284,83200,2010
358,1780.982373,88150,2010
359,1834.921796,101150,2010
360,2032.915278,197300,2010
361,1749.741631,94475,2010
362,2637.276078,446000,2010
363,2469.841464,205200,2010
364,2470.981941,201200,2010
365,2458.103725,235100,2010
368,1796.439004,199950,2010
369,1766.017976,195950,2010
370,1256.506554,20218.33017,2010
371,1623,33900,2010
372,1338.630269,17800,2010
373,1416.311436,23440,2010
374,1501.289594,27770,2010
377,1612.656038,34255,2010
378,1587.362226,33665.71429,2010
379,1446.367498,26283.47826,2010
385,1588.000462,35200,2010
387,1613.154188,40750,2010
388,1745.374403,42000,2010
389,1509.093766,25793.97059,2010
390,1719.611824,27805.18987,2010
391,1736.396083,40610,2010
392,1826.28811,44100,2010
393,1738.345722,32115.71429,2010
394,1703.829938,33606.53333,2010
395,1763.742387,33313.75,2010
396,1740.117379,44890,2010
397,1901.156435,58250,2010
398,1854.650185,43850,2010
399,1728.856998,25015,2010
401,1748.504393,42850,2010
402,1321.997324,20245,2010
405,2021,30882.20994,2010
406,2062,31678.1236,2010
407,2099,32415,2010
408,2100,35497.30697,2010
409,2100,36910,2010
410,2139,42075,2010
411,1933,37755,2010
412,2028,40375,2010
413,2037,40010,2010
414,2257,40210,2010
415,2437,37210,2010
416,2521,42440,2010
417,2580,65970,2010
418,2649,52490,2010
419,1403,21165,2010
420,1475,26255,2010
421,1532,28775,2010
422,1854.785333,28070,2010
423,2372.052408,55000,2010
424,2542.155523,45040,2010
425,2574.503119,50720,2010
426,2018,25630,2010
427,2651.144094,53525,2010
428,2018,27380,2010
429,1964,30278.15914,2010
430,1980,24800,2010
431,2012,30400,2010
432,2013,29200,2010
433,2020,30400,2010
434,2049,27770,2010
435,1724,20845,2010
436,1843,27672.24832,2010
437,1910,26480,2010
438,1920,29412.27707,2010
439,1600,23190,2010
440,1610,23940,2010
441,1703,33800,2010
442,1729,36000,2010
443,1777,35200,2010
444,1803,37400,2010
445,1814,23990,2010
446,1831,37475,2010
447,1849,33557.5,2010
448,1850,28853.00971,2010
449,1910,38845,2010
450,1935,28895,2010
451,1996,40695,2010
452,2608.525779,58235,2010
453,2676.512126,61080,2010
454,2557,46120,2010
455,1605.684231,24329.15668,2010
456,2256.806152,36970,2010
457,1911.857249,56550,2010
458,1909.582646,57450,2010
459,2270.457334,106035,2010
460,1899.559533,26193.75,2010
461,1735.737619,34227.87992,2010
462,1734.580952,33323.19366,2010
463,1899.559533,28440,2010
464,2442.728886,46385,2010
465,2456.777331,46925,2010
466,2442.728886,52055,2010
467,2456.777331,52595,2010
468,2016.259537,87950,2010
469,2274.759809,108800,2010
470,2445.907273,178733.3333,2010
471,2450.505884,203533.3333,2010
472,1677.55175,27445,2010
473,1731.926838,29215,2010
474,1780.499109,29920,2010
475,1728.214637,29920,2010
476,1712.314601,23980,2010
477,1668.988,29630,2010
478,1631.158667,27950,2010
